WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=0.6 ex=-0.86cm ang=4.1deg z=135.3cm tg=0.00 mode=0 conf=0.76 lost=0 L=6.22 R=6.24 expx=-2.0
th=120 steer=0.6 ex=-1.39cm ang=8.0deg z=135.3cm tg=0.00 mode=0 conf=0.77 lost=0 L=6.21 R=6.23 expx=-3.1
th=120 steer=1.0 ex=-2.14cm ang=10.5deg z=135.3cm tg=0.00 mode=0 conf=0.77 lost=0 L=6.17 R=6.21 expx=-4.8
th=120 steer=1.7 ex=-3.23cm ang=14.0deg z=133.8cm tg=0.00 mode=0 conf=0.75 lost=0 L=6.09 R=6.16 expx=-7.2
th=120 steer=2.3 ex=-4.23cm ang=16.8deg z=133.8cm tg=0.00 mode=0 conf=0.75 lost=0 L=6.03 R=6.12 expx=-9.5
th=120 steer=3.4 ex=-5.55cm ang=19.5deg z=130.8cm tg=0.00 mode=0 conf=0.68 lost=0 L=5.91 R=6.03 expx=-12.8
th=120 steer=4.1 ex=-6.51cm ang=21.4deg z=129.3cm tg=0.00 mode=0 conf=0.64 lost=0 L=5.83 R=5.98 expx=-15.1
th=120 steer=5.1 ex=-7.67cm ang=23.6deg z=127.9cm tg=0.00 mode=0 conf=0.60 lost=0 L=5.72 R=5.91 expx=-18.0
th=120 steer=5.8 ex=-8.54cm ang=26.0deg z=125.1cm tg=0.00 mode=0 conf=0.51 lost=0 L=5.64 R=5.86 expx=-20.5
th=120 steer=7.0 ex=-9.48cm ang=26.6deg z=122.4cm tg=0.00 mode=0 conf=0.41 lost=0 L=5.52 R=5.77 expx=-23.2
th=120 steer=7.2 ex=-10.09cm ang=28.8deg z=122.4cm tg=0.00 mode=0 conf=0.41 lost=0 L=5.49 R=5.76 expx=-24.8
th=120 steer=7.9 ex=-10.68cm ang=29.9deg z=119.9cm tg=0.00 mode=0 conf=0.30 lost=0 L=5.42 R=5.71 expx=-26.8
th=120 steer=8.3 ex=-11.31cm ang=33.5deg z=118.6cm tg=0.00 mode=0 conf=0.24 lost=0 L=5.37 R=5.68 expx=-28.6
th=120 steer=11.0 ex=-11.31cm ang=33.5deg z=118.6cm tg=1.00 mode=1 conf=0.00 lost=8 L=4.29 R=4.69 expx=-28.6
th=120 steer=11.0 ex=-11.31cm ang=33.5deg z=118.6cm tg=1.00 mode=1 conf=0.00 lost=16 L=4.29 R=4.69 expx=-28.6
th=120 steer=7.2 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=5 L=4.65 R=4.92 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=13 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=21 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=29 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=37 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=45 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=53 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=61 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=69 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=77 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=85 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=93 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=101 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=109 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=117 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=125 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=133 L=4.29 R=4.69 expx=-28.2
th=120 steer=11.0 ex=-11.05cm ang=32.0deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=141 L=4.29 R=4.69 expx=-28.2
th=120 steer=39.6 ex=-53.25cm ang=17.4deg z=133.8cm tg=0.00 mode=0 conf=0.18 lost=0 L=2.87 R=4.33 expx=-119.5
th=120 steer=-13.0 ex=14.58cm ang=36.5deg z=122.4cm tg=1.00 mode=1 conf=0.00 lost=1 L=4.57 R=4.10 expx=35.8
th=120 steer=11.0 ex=14.58cm ang=36.5deg z=122.4cm tg=1.00 mode=1 conf=0.00 lost=9 L=4.29 R=4.69 expx=35.8
th=120 steer=31.9 ex=-54.43cm ang=-15.4deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=2 L=3.01 R=4.19 expx=-104.1
th=120 steer=11.0 ex=-54.43cm ang=-15.4deg z=156.9cm tg=1.00 mode=1 conf=0.00 lost=10 L=4.29 R=4.69 expx=-104.1
th=120 steer=-13.4 ex=17.33cm ang=26.7deg z=122.4cm tg=0.00 mode=0 conf=0.34 lost=0 L=5.31 R=4.82 expx=42.5
th=120 steer=-9.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=5 L=4.81 R=4.48 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=13 L=4.29 R=4.69 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=21 L=4.29 R=4.69 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=29 L=4.29 R=4.69 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=37 L=4.29 R=4.69 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=45 L=4.29 R=4.69 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=53 L=4.29 R=4.69 expx=33.2
th=120 steer=11.0 ex=13.00cm ang=43.2deg z=117.4cm tg=1.00 mode=1 conf=0.00 lost=61 L=4.29 R=4.69 expx=33.2
