WARNING: Solid "track_overlay" > Shape  > PBRAppearance "PBRAppearance" > ImageTexture : Texture image size of 'D:/用户/Lenovo/桌面/Robocup/generated/track_with_obstacle_start.png' is not a power of two: rescaling it from 3820x2600 to 4096x4096.
INFO: line_follow_transfer: Starting controller: python.exe -u line_follow_transfer.py
line_follow_transfer: camera=320x240, timestep=32ms
th=120 steer=9.5 ex=-7.72cm ang=31.4deg z=72.4cm tg=0.00 mode=0 conf=0.54 lost=0 L=5.01 R=5.35 expx=-32.0
th=120 steer=7.9 ex=-6.99cm ang=34.8deg z=72.4cm tg=0.00 mode=0 conf=0.55 lost=0 L=5.17 R=5.46 expx=-29.0
th=120 steer=6.7 ex=-6.39cm ang=35.8deg z=72.4cm tg=0.00 mode=0 conf=0.53 lost=0 L=5.29 R=5.54 expx=-26.5
th=120 steer=6.4 ex=-6.27cm ang=37.9deg z=72.4cm tg=0.00 mode=0 conf=0.53 lost=0 L=5.33 R=5.56 expx=-26.0
th=120 steer=8.1 ex=-6.97cm ang=41.6deg z=70.1cm tg=0.00 mode=0 conf=0.38 lost=0 L=5.15 R=5.45 expx=-30.0
th=120 steer=7.5 ex=-6.91cm ang=43.4deg z=70.1cm tg=0.00 mode=0 conf=0.39 lost=0 L=5.22 R=5.49 expx=-29.8
th=120 steer=5.5 ex=-6.68cm ang=46.5deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=2 L=4.60 R=4.80 expx=-28.8
th=120 steer=11.0 ex=-6.68cm ang=46.5deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=10 L=4.09 R=4.49 expx=-28.8
th=120 steer=3.1 ex=-5.33cm ang=48.0deg z=70.1cm tg=0.00 mode=0 conf=0.40 lost=0 L=5.67 R=5.79 expx=-23.0
th=120 steer=11.0 ex=-6.50cm ang=50.7deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=7 L=4.09 R=4.49 expx=-28.0
th=120 steer=11.0 ex=-6.50cm ang=50.7deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=15 L=4.09 R=4.49 expx=-28.0
th=120 steer=11.0 ex=-6.50cm ang=50.7deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=23 L=4.09 R=4.49 expx=-28.0
th=120 steer=11.0 ex=-6.50cm ang=50.7deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=31 L=4.09 R=4.49 expx=-28.0
th=120 steer=11.0 ex=-6.50cm ang=50.7deg z=70.1cm tg=1.00 mode=1 conf=0.00 lost=39 L=4.09 R=4.49 expx=-28.0
